location,total_pollution
Agra,1998047.9500005848
Ahmedabad,1148448.813333365
Alwar,1197204.2799998934
Bangalore,1224516.5436410366
Bhopal,794734.3566668256
Chandigarh,1296354.2000000002
Chandrapur,1094090.7999999996
Delhi,2449089.146666666
Firozabad,1172499.033333291
Ghaziabad,1009966.0916666707
Gobindgarh,870264.765
Indore,909811.3600000001
Jaipur,1703221.5809998133
Jodhpur,2095988.1475003553
Kanpur,2480430.708333333
Kolkata,1476508.4150003134
Korba,683647.7000000001
Kota,1199488.193333161
Lucknow,1934255.027137831
Ludhiana,1534782.1200000003
Nagpur,1202485.8111112255
Nashik,889209.0333333333
Navi Mumbai,1400904.9833327527
Noida,730147.033333712
Paonta Sahib,762292.4500000001
Pune,1210884.6666666667
Raipur,690202.4333333233
Solapur,827808.1996937
Surat,750584.5700000001
Udaipur,1127886.077499929
